"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","1044327.72414959","No"
"0x005dadf951c685303f64469e904f6cd34d4757d6","1E-18","No"
"0x009b93b230b7f7540c1576f5d02dcd6856bf445e","2E-18","No"
"0x0126ba24d87fee57bfe3608c4fa410ef4f72421f","2E-18","No"
"0x01f127e0e48a9c4a01f87f3699be07bb997bf7c7","2E-18","No"
"0x01f731785184f0deb06f104b281c78753a270c88","1E-18","No"
"0x02f47f74dab57effb2cb59c96e850e0b73e85058","1E-18","No"
"0x035aea40df83eb8cf6ef4e82ac3d13aa16434719","1E-18","No"
"0x03acaf4d716fbe82293b8aa6da3c7940f2a887fa","1E-18","No"
"0x03ca8427d6609ec49d992fef42cde091815e3091","85.7142857142857","No"
"0x03d99d263d4fcc26c7106b33ca94a51661502b76","1E-18","No"
"0x04064e84bfdf8a3d831f223f90982f9933a56f2e","200","No"
"0x041f997b485c968982947fd3c2dbc9e1d4584c2e","2E-18","No"
"0x043f228e56b692d88ee77297ef0ba489ed11d6dc","1E-18","No"
"0x0475f297f915711d9e1f5cadca54191f245d4794","2E-18","No"
"0x0503d71603c698a17e826ef15d3348a022f4c327","1E-18","No"
"0x05354de4ed71a3bdfbb2a77b64224b1e37c4ec05","71.25","No"
"0x059eeb25836be36d336455eb462d7d96f52e72a6","1E-18","No"
"0x05d90a6ce781a30f689ff8852087fb8ca7f5d8ae","1E-18","No"
"0x05f5dbc8dab07b96e094ed420c3b2631a73d719c","2E-18","No"
"0x065042701868b149501a6603e5264fa3ed5be0f1","1E-18","No"
"0x06a64b8e0f60d0c7872e89e16caf32e634f56893","1E-18","No"
"0x071fd898ed29f692cee31791a5ff7724631942ce","1E-18","No"
"0x075e72a5edf65f0a5f44699c7654c1a76941ddc8","333.9","No"
"0x0786bdb4b70655c623bdf8da754182caa92df181","2E-18","No"
"0x078c35f0afb581705a23bde4dafff37b840965c7","16.6666666666667","No"
"0x0813b13f440b05a753d532a498eacfd34422e42b","1E-18","No"
"0x0824af5798aa2b17998a79190decca5948708f0f","1E-18","No"
"0x0878708a658b48734adedbf421c7a630058ba141","1E-18","No"
"0x0934a9cd55df6ab4911275e7d51736ce40c9be26","1E-18","No"
"0x096caa1d19f71716e00809d911db152e25c37edc","13.3333333333333","No"
