Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $343/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x64e1797f0b56ac748e0036303e2c2eb1fc3bb989dc780509b5da7e9cb31226fd,14280384,1641929222,1/11/2022 19:27,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,0,0,0,0.1026504,35.2090872,463.38,,,0x60806040
0xac3383c167ddfb35ae3873f2bce7b308ac62ea65355b588794938f0153951bf3,14280659,1641930047,1/11/2022 19:40,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00066181,0.22700083,463.38,,,Add
0x06634db7714eeb238bde1c7413bfa19ebcc9ad814ad718fd4a54a5b625e61044,14281308,1641931994,1/11/2022 20:13,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000722795,0.247918685,463.38,,,Add
0x5c0ed3542c7dbc5edb3e5709a3c26490aa6ada54d6f5391722a20e76a18751b8,14281326,1641932048,1/11/2022 20:14,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00087984,0.30178512,463.38,,,Add
0x30acd5c3511cd8a64a523741189b0d649d45c0bc7f170a4401d29d0da48ea0e7,14281339,1641932087,1/11/2022 20:14,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000940765,0.322682395,463.38,,,Add
0xc17405a82e32288b228602caa1b286306476c7329ff70ab74b41bf2417d542a0,14281358,1641932144,1/11/2022 20:15,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00100181,0.34362083,463.38,,,Add
0x1abeb2f9f1b74ba903b24e1a72707f0309650a7b2b00cbe67fc7c07e781782ae,14281369,1641932177,1/11/2022 20:16,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001062795,0.364538685,463.38,,,Add
0xfa74013b54cfd2a6a60f17e2591689e91933cdc82a1ff816b108dfaba083c380,14281382,1641932216,1/11/2022 20:16,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00112372,0.38543596,463.38,,,Add
0x6fe3048391f61a4c5a60aee8b39023c883ff9ffd82a39254b223e2e22182eb5b,14281392,1641932246,1/11/2022 20:17,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001184705,0.406353815,463.38,,,Add
0x239ce9cb5bf0a36d4110d756aa3ea5fb9f0b773f0676af92e6ac24d3d8bf8692,14281402,1641932276,1/11/2022 20:17,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00124569,0.42727167,463.38,,,Add
0x8daf80a1adc5122489f2f3bb2183347ea20f8dc11304cbc9511acce4c7757868,14281411,1641932303,1/11/2022 20:18,0x0590f20a7f1b6799979d2d59d10242e1081d8d9c,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001306675,0.448189525,463.38,,,Add
