        ------------------[14278000, 14278999]: 1
        ------------------[14279000, 14279999]: 0
        ------------------[14280000, 14280999]: 2
        ------------------[14281000, 14281999]: 3
        ------------------[14282000, 14282999]: 0
        ------------------[14283000, 14283999]: 2754
        ------------------[14284000, 14284999]: 2029
        ------------------[14285000, 14285999]: 923
        ------------------[14286000, 14286999]: 738
        ------------------[14287000, 14287999]: 494
        ------------------[14288000, 14288999]: 412
        ------------------[14289000, 14289999]: 328
        ------------------[14290000, 14290999]: 246
        ------------------[14291000, 14291999]: 352
        ------------------[14292000, 14292999]: 422
        ------------------[14293000, 14293999]: 586
        ------------------[14294000, 14294999]: 733
        ------------------[14295000, 14295999]: 541
        ------------------[14296000, 14296999]: 424
        ------------------[14297000, 14297999]: 348
        ------------------[14298000, 14298999]: 286
        ------------------[14299000, 14299999]: 228
        ------------------[14300000, 14300999]: 215
        ------------------[14301000, 14301999]: 236
        ------------------[14302000, 14302999]: 160
        ------------------[14303000, 14303999]: 139
        ------------------[14304000, 14304999]: 227
        ------------------[14305000, 14305999]: 320
        ------------------[14306000, 14306999]: 112
        ------------------[14307000, 14307999]: 317
        ------------------[14308000, 14308999]: 440
        ------------------[14309000, 14309999]: 274
        ------------------[14310000, 14310999]: 193
        ------------------[14311000, 14311999]: 260
        ------------------[14312000, 14312999]: 186
        ------------------[14313000, 14313999]: 250
        ------------------[14314000, 14314999]: 236
        ------------------[14315000, 14315999]: 155
        ------------------[14316000, 14316999]: 224
        ------------------[14317000, 14317999]: 123
        ------------------[14318000, 14318999]: 73
        ------------------[14319000, 14319999]: 84
        ------------------[14320000, 14320999]: 89
        ------------------[14321000, 14321999]: 35
        ------------------[14322000, 14322999]: 60
        ------------------[14323000, 14323999]: 96
        ------------------[14324000, 14324999]: 221
        ------------------[14325000, 14325999]: 172
        ------------------[14326000, 14326999]: 116
        ------------------[14327000, 14327999]: 167
        ------------------[14328000, 14328999]: 203
        ------------------[14329000, 14329999]: 233
        ------------------[14330000, 14330999]: 171
        ------------------[14331000, 14331999]: 319
        ------------------[14332000, 14332999]: 161
        ------------------[14333000, 14333999]: 89
        ------------------[14334000, 14334999]: 177
        ------------------[14335000, 14335999]: 182
        ------------------[14336000, 14336999]: 211
        ------------------[14337000, 14337999]: 284
        ------------------[14338000, 14338999]: 209
        ------------------[14339000, 14339999]: 89
        ------------------[14340000, 14340999]: 172
        ------------------[14341000, 14341999]: 131
        ------------------[14342000, 14342999]: 206
        ------------------[14343000, 14343999]: 124
        ------------------[14344000, 14344999]: 196
        ------------------[14345000, 14345999]: 185
        ------------------[14346000, 14346999]: 128
        ------------------[14347000, 14347999]: 107
        ------------------[14348000, 14348999]: 97
        ------------------[14349000, 14349999]: 136
        ------------------[14350000, 14350999]: 186
        ------------------[14351000, 14351999]: 178
        ------------------[14352000, 14352999]: 119
        ------------------[14353000, 14353999]: 167
        ------------------[14354000, 14354999]: 172
        ------------------[14355000, 14355999]: 154
        ------------------[14356000, 14356999]: 191
        ------------------[14357000, 14357999]: 125
        ------------------[14358000, 14358999]: 209
        ------------------[14359000, 14359999]: 146
        ------------------[14360000, 14360999]: 64
        ------------------[14361000, 14361999]: 57
        ------------------[14362000, 14362999]: 271
        ------------------[14363000, 14363999]: 482
        ------------------[14364000, 14364999]: 222
        ------------------[14365000, 14365999]: 167
        ------------------[14366000, 14366999]: 128
        ------------------[14367000, 14367999]: 129
        ------------------[14368000, 14368999]: 100
        ------------------[14369000, 14369999]: 155
        ------------------[14370000, 14370999]: 95
        ------------------[14371000, 14371999]: 54
        ------------------[14372000, 14372999]: 153
        ------------------[14373000, 14373999]: 99
        ------------------[14374000, 14374999]: 161
        ------------------[14375000, 14375999]: 123
        ------------------[14376000, 14376999]: 151
        ------------------[14377000, 14377999]: 193
        ------------------[14378000, 14378999]: 48
        ------------------[14379000, 14379999]: 172
        ------------------[14380000, 14380999]: 148
        ------------------[14381000, 14381999]: 97
        ------------------[14382000, 14382999]: 208
        ------------------[14383000, 14383999]: 78
        ------------------[14384000, 14384999]: 173
        ------------------[14385000, 14385999]: 119
        ------------------[14386000, 14386999]: 234
        ------------------[14387000, 14387999]: 281
        ------------------[14388000, 14388999]: 93
        ------------------[14389000, 14389999]: 116
        ------------------[14390000, 14390999]: 301
        ------------------[14391000, 14391999]: 207
        ------------------[14392000, 14392999]: 130
        ------------------[14393000, 14393999]: 125
        ------------------[14394000, 14394999]: 134
        ------------------[14395000, 14395999]: 106
        ------------------[14396000, 14396999]: 102
        ------------------[14397000, 14397999]: 80
        ------------------[14398000, 14398999]: 211
        ------------------[14399000, 14399999]: 68
        ------------------[14400000, 14400999]: 71
        ------------------[14401000, 14401999]: 96
        ------------------[14402000, 14402999]: 145
        ------------------[14403000, 14403999]: 56
        ------------------[14404000, 14404999]: 133
        ------------------[14405000, 14405999]: 97
        ------------------[14406000, 14406999]: 269
        ------------------[14407000, 14407999]: 133
        ------------------[14408000, 14408999]: 121
        ------------------[14409000, 14409999]: 132
        ------------------[14410000, 14410999]: 168
        ------------------[14411000, 14411999]: 92
        ------------------[14412000, 14412999]: 182
        ------------------[14413000, 14413999]: 129
        ------------------[14414000, 14414999]: 196
        ------------------[14415000, 14415999]: 135
        ------------------[14416000, 14416999]: 224
        ------------------[14417000, 14417999]: 243
        ------------------[14418000, 14418999]: 191
        ------------------[14419000, 14419999]: 60
        ------------------[14420000, 14420999]: 174
        ------------------[14421000, 14421999]: 364
        ------------------[14422000, 14422999]: 522
        ------------------[14423000, 14423999]: 324
        ------------------[14424000, 14424999]: 329
        ------------------[14425000, 14425999]: 470
        ------------------[14426000, 14426999]: 484
        ------------------[14427000, 14427999]: 339
        ------------------[14428000, 14428999]: 245
        ------------------[14429000, 14429999]: 184
        ------------------[14430000, 14430999]: 132
        ------------------[14431000, 14431999]: 263
        ------------------[14432000, 14432999]: 95
        ------------------[14433000, 14433999]: 136
        ------------------[14434000, 14434999]: 60
        ------------------[14435000, 14435999]: 96
        ------------------[14436000, 14436999]: 202
        ------------------[14437000, 14437999]: 80
        ------------------[14438000, 14438999]: 181
        ------------------[14439000, 14439999]: 171
        ------------------[14440000, 14440999]: 184
        ------------------[14441000, 14441999]: 150
        ------------------[14442000, 14442999]: 251
        ------------------[14443000, 14443999]: 157
        ------------------[14444000, 14444999]: 154
        ------------------[14445000, 14445999]: 168
        ------------------[14446000, 14446999]: 110
        ------------------[14447000, 14447999]: 170
        ------------------[14448000, 14448999]: 301
        ------------------[14449000, 14449999]: 136
        ------------------[14450000, 14450999]: 114
        ------------------[14451000, 14451999]: 180
        ------------------[14452000, 14452999]: 135
        ------------------[14453000, 14453999]: 210
        ------------------[14454000, 14454999]: 276
        ------------------[14455000, 14455999]: 170
        ------------------[14456000, 14456999]: 374
        ------------------[14457000, 14457999]: 109
        ------------------[14458000, 14458999]: 168
        ------------------[14459000, 14459999]: 183
        ------------------[14460000, 14460999]: 208
        ------------------[14461000, 14461999]: 128
        ------------------[14462000, 14462999]: 184
        ------------------[14463000, 14463999]: 89
        ------------------[14464000, 14464999]: 82
        ------------------[14465000, 14465999]: 6880
        ------------------[14466000, 14466999]: 2730
        ------------------[14467000, 14467999]: 2391
        ------------------[14468000, 14468999]: 1663
        ------------------[14469000, 14469999]: 119
        ------------------[14470000, 14470999]: 255
        ------------------[14471000, 14471999]: 300
        ------------------[14472000, 14472999]: 46
        ------------------[14473000, 14473999]: 31
        ------------------[14474000, 14474999]: 32
        ------------------[14475000, 14475999]: 155
        ------------------[14476000, 14476999]: 15
        ------------------[14477000, 14477999]: 35
        ------------------[14478000, 14478999]: 121
        ------------------[14479000, 14479999]: 231
        ------------------[14480000, 14480999]: 16
        ------------------[14481000, 14481999]: 8
        ------------------[14482000, 14482999]: 8
        ------------------[14483000, 14483999]: 1
        ------------------[14484000, 14484999]: 0
        ------------------[14485000, 14485999]: 1
        ------------------[14486000, 14486999]: 3
        ------------------[14487000, 14487999]: 10
        ------------------[14488000, 14488999]: 1
        ------------------[14489000, 14489999]: 414
        ------------------[14490000, 14490999]: 1204
        ------------------[14491000, 14491999]: 187
        ------------------[14492000, 14492999]: 212
        ------------------[14493000, 14493999]: 54
        ------------------[14494000, 14494999]: 62
        ------------------[14495000, 14495999]: 123
        ------------------[14496000, 14496999]: 128
        ------------------[14497000, 14497999]: 52
        ------------------[14498000, 14498999]: 199
        ------------------[14499000, 14499999]: 24
        ------------------[14500000, 14500999]: 166
        ------------------[14501000, 14501999]: 68
        ------------------[14502000, 14502999]: 1011
        ------------------[14503000, 14503999]: 58
        ------------------[14504000, 14504999]: 4
        ------------------[14505000, 14505999]: 4
        ------------------[14506000, 14506999]: 12
        ------------------[14507000, 14507999]: 0
        ------------------[14508000, 14508999]: 0
        ------------------[14509000, 14509999]: 0
        ------------------[14510000, 14510999]: 0
        ------------------[14511000, 14511999]: 0
        ------------------[14512000, 14512999]: 0
        ------------------[14513000, 14513999]: 0
        ------------------[14514000, 14514999]: 0
